JobIDRaw|Account|User|State|Partition|ReqCPUS|ReqMem|Timelimit|Submit|Start|End|NodeList|ReqTRES|Reason
2654|hpc|user.96|COMPLETED|gpu|93|978G|3-00:00:00|2022-12-11T21:35:49|2022-12-11T21:53:49|2022-12-12T19:01:49|gpunode4|billing=10,cpu=93,gres/gpu=16,mem=978G,node=1|None
2655|hpc|user.26|COMPLETED|gpu|44|56G|3-00:00:00|2022-12-11T22:38:49|2022-12-12T02:29:49|2022-12-12T07:15:49|gpunode5|billing=10,cpu=44,gres/gpu=2,mem=56G,node=1|None
2656|hpc|user.76|COMPLETED|gpu|1|4G|3-00:00:00|2022-12-12T00:32:49|2022-12-12T01:09:49|2022-12-12T04:04:49|gpunode6|billing=10,cpu=1,gres/gpu=3,mem=4G,node=1|QOSMaxJobsPerUserLimit
2657|hpc|user.4|COMPLETED|gpu|3|130G|3-00:00:00|2022-12-11T23:39:49|2022-12-12T00:50:49|2022-12-12T19:33:49|gpunode7|billing=10,cpu=3,gres/gpu=2,mem=130G,node=1|None
2658|hpc|user.73|COMPLETED|gpu|63|1018G|3-00:00:00|2022-12-12T00:02:49|2022-12-12T03:31:49|2022-12-12T09:12:49|gpunode8|billing=10,cpu=63,gres/gpu=11,mem=1018G,node=1|None
2659|hpc|user.27|COMPLETED|gpu|2|31G|3-00:00:00|2022-12-12T00:06:49|2022-12-12T01:54:49|2022-12-12T08:51:49|gpunode9|billing=10,cpu=2,gres/gpu=1,mem=31G,node=1|None
2660|hpc|user.56|COMPLETED|gpu|43|833G|3-00:00:00|2022-12-11T21:53:49|2022-12-11T23:22:49|2022-12-12T15:22:49|gpunode10|billing=10,cpu=43,gres/gpu=16,mem=833G,node=1|None
2661|hpc|user.76|COMPLETED|cpu|13|77G|3-00:00:00|2022-12-12T21:31:49|2022-12-12T21:38:49|2022-12-13T09:02:49|node1|billing=10,cpu=13,mem=77G,node=1|QOSMaxJobsPerUserLimit
2662|hpc|user.14|COMPLETED|cpu|42|722G|3-00:00:00|2022-12-12T22:39:49|2022-12-12T23:54:49|2022-12-13T15:17:49|node2|billing=10,cpu=42,mem=722G,node=1|None
2663|hpc|user.36|COMPLETED|cpu|36|296G|3-00:00:00|2022-12-12T22:10:49|2022-12-12T23:58:49|2022-12-13T08:12:49|node3|billing=10,cpu=36,mem=296G,node=1|ReqNodeNotAvail
2664|hpc|user.44|COMPLETED|cpu|9|536G|3-00:00:00|2022-12-13T00:22:49|2022-12-13T02:00:49|2022-12-13T11:54:49|node4|billing=10,cpu=9,mem=536G,node=1|None
2665|hpc|user.47|COMPLETED|cpu|6|57G|3-00:00:00|2022-12-12T22:19:49|2022-12-13T01:33:49|2022-12-13T02:51:49|node5|billing=10,cpu=6,mem=57G,node=1|None
2666|hpc|user.99|COMPLETED|cpu|24|488G|3-00:00:00|2022-12-13T00:31:49|2022-12-13T00:56:49|2022-12-14T00:30:49|node6|billing=10,cpu=24,mem=488G,node=1|None
2667|hpc|user.64|COMPLETED|cpu|12|48G|3-00:00:00|2022-12-13T00:14:49|2022-12-13T02:25:49|2022-12-13T02:35:49|node7|billing=10,cpu=12,mem=48G,node=1|QOSMaxJobsPerUserLimit
2668|hpc|user.63|COMPLETED|cpu|31|426G|3-00:00:00|2022-12-12T22:25:49|2022-12-13T01:19:49|2022-12-13T14:32:49|node8|billing=10,cpu=31,mem=426G,node=1|None
2669|hpc|user.90|COMPLETED|cpu|3|2G|3-00:00:00|2022-12-13T00:10:49|2022-12-13T01:06:49|2022-12-13T13:54:49|node9|billing=10,cpu=3,mem=2G,node=1|None
2670|hpc|user.22|COMPLETED|cpu|25|387G|3-00:00:00|2022-12-12T22:39:49|2022-12-13T01:15:49|2022-12-13T05:21:49|node10|billing=10,cpu=25,mem=387G,node=1|None
2671|hpc|user.45|COMPLETED|gpu|19|190G|3-00:00:00|2022-12-13T00:29:49|2022-12-13T04:17:49|2022-12-13T16:16:49|gpunode1|billing=10,cpu=19,gres/gpu=1,mem=190G,node=1|None
2672|hpc|user.62|COMPLETED|gpu|8|11G|3-00:00:00|2022-12-13T00:30:49|2022-12-13T02:05:49|2022-12-13T09:38:49|gpunode2|billing=10,cpu=8,gres/gpu=2,mem=11G,node=1|None
2673|hpc|user.80|COMPLETED|gpu|10|138G|3-00:00:00|2022-12-12T23:48:49|2022-12-13T01:59:49|2022-12-13T18:15:49|gpunode3|billing=10,cpu=10,gres/gpu=2,mem=138G,node=1|Dependency
2674|hpc|user.2|COMPLETED|gpu|14|1369G|3-00:00:00|2022-12-12T20:58:49|2022-12-12T23:06:49|2022-12-13T17:15:49|gpunode4|billing=10,cpu=14,gres/gpu=16,mem=1369G,node=1|None
2675|hpc|user.89|COMPLETED|gpu|30|10G|3-00:00:00|2022-12-13T00:37:49|2022-12-13T03:26:49|2022-12-13T15:43:49|gpunode5|billing=10,cpu=30,gres/gpu=1,mem=10G,node=1|None
2676|hpc|user.68|COMPLETED|gpu|11|48G|3-00:00:00|2022-12-12T21:24:49|2022-12-12T23:46:49|2022-12-13T23:29:49|gpunode6|billing=10,cpu=11,gres/gpu=1,mem=48G,node=1|None
2677|hpc|user.24|COMPLETED|gpu|20|34G|3-00:00:00|2022-12-12T21:36:49|2022-12-12T22:49:49|2022-12-13T14:59:49|gpunode7|billing=10,cpu=20,gres/gpu=1,mem=34G,node=1|None
2678|hpc|user.4|COMPLETED|gpu|50|415G|3-00:00:00|2022-12-12T20:56:49|2022-12-12T21:22:49|2022-12-13T02:28:49|gpunode8|billing=10,cpu=50,gres/gpu=12,mem=415G,node=1|ReqNodeNotAvail
2679|hpc|user.27|COMPLETED|gpu|7|138G|3-00:00:00|2022-12-12T23:49:49|2022-12-13T03:09:49|2022-12-13T13:59:49|gpunode9|billing=10,cpu=7,gres/gpu=1,mem=138G,node=1|None
2680|hpc|user.41|COMPLETED|gpu|98|1047G|3-00:00:00|2022-12-12T22:23:49|2022-12-13T01:04:49|2022-12-13T07:50:49|gpunode10|billing=10,cpu=98,gres/gpu=10,mem=1047G,node=1|None
2681|hpc|user.78|COMPLETED|cpu|4|80G|3-00:00:00|2022-12-13T21:50:49|2022-12-14T00:14:49|2022-12-14T04:53:49|node1|billing=10,cpu=4,mem=80G,node=1|Dependency
2682|hpc|user.79|COMPLETED|cpu|60|236G|3-00:00:00|2022-12-13T21:45:49|2022-12-13T23:18:49|2022-12-14T15:55:49|node2|billing=10,cpu=60,mem=236G,node=1|QOSMaxJobsPerUserLimit
2683|hpc|user.46|COMPLETED|cpu|36|374G|3-00:00:00|2022-12-13T22:00:49|2022-12-14T00:49:49|2022-12-14T19:20:49|node3|billing=10,cpu=36,mem=374G,node=1|Dependency
2684|hpc|user.14|COMPLETED|cpu|27|688G|3-00:00:00|2022-12-14T00:19:49|2022-12-14T03:03:49|2022-12-15T00:18:49|node4|billing=10,cpu=27,mem=688G,node=1|None
2685|hpc|user.9|COMPLETED|cpu|12|27G|3-00:00:00|2022-12-13T23:25:49|2022-12-14T01:55:49|2022-12-14T03:21:49|node5|billing=10,cpu=12,mem=27G,node=1|None
2686|hpc|user.64|COMPLETED|cpu|1|68G|3-00:00:00|2022-12-13T21:16:49|2022-12-13T22:53:49|2022-12-14T14:01:49|node6|billing=10,cpu=1,mem=68G,node=1|None
2687|hpc|user.19|COMPLETED|cpu|41|6G|3-00:00:00|2022-12-13T21:42:49|2022-12-14T01:04:49|2022-12-14T11:19:49|node7|billing=10,cpu=41,mem=6G,node=1|None
2688|hpc|user.49|COMPLETED|cpu|29|468G|3-00:00:00|2022-12-13T21:03:49|2022-12-13T22:01:49|2022-12-14T09:54:49|node8|billing=10,cpu=29,mem=468G,node=1|None
2689|hpc|user.25|COMPLETED|cpu|20|37G|3-00:00:00|2022-12-13T23:27:49|2022-12-14T01:46:49|2022-12-14T15:21:49|node9|billing=10,cpu=20,mem=37G,node=1|None
2690|hpc|user.75|COMPLETED|cpu|66|536G|3-00:00:00|2022-12-13T22:15:49|2022-12-14T01:02:49|2022-12-14T23:20:49|node10|billing=10,cpu=66,mem=536G,node=1|None
2691|hpc|user.5|COMPLETED|gpu|55|93G|3-00:00:00|2022-12-13T22:50:49|2022-12-14T01:55:49|2022-12-14T02:01:49|gpunode1|billing=10,cpu=55,gres/gpu=2,mem=93G,node=1|None
2692|hpc|user.61|COMPLETED|gpu|17|33G|3-00:00:00|2022-12-14T00:14:49|2022-12-14T03:08:49|2022-12-14T09:10:49|gpunode2|billing=10,cpu=17,gres/gpu=3,mem=33G,node=1|None
2693|hpc|user.51|COMPLETED|gpu|14|88G|3-00:00:00|2022-12-13T23:49:49|2022-12-14T00:05:49|2022-12-14T21:45:49|gpunode3|billing=10,cpu=14,gres/gpu=1,mem=88G,node=1|QOSMaxJobsPerUserLimit
2694|hpc|user.25|COMPLETED|gpu|64|956G|3-00:00:00|2022-12-14T00:46:49|2022-12-14T06:04:49|2022-12-14T23:28:49|gpunode4|billing=10,cpu=64,gres/gpu=13,mem=956G,node=1|ReqNodeNotAvail
2695|hpc|user.3|COMPLETED|gpu|26|198G|3-00:00:00|2022-12-14T00:18:49|2022-12-14T01:01:49|2022-12-14T15:33:49|gpunode5|billing=10,cpu=26,gres/gpu=1,mem=198G,node=1|None
2696|hpc|user.88|COMPLETED|gpu|6|42G|3-00:00:00|2022-12-13T21:59:49|2022-12-13T22:07:49|2022-12-14T00:14:49|gpunode6|billing=10,cpu=6,gres/gpu=4,mem=42G,node=1|None
2697|hpc|user.47|COMPLETED|gpu|10|156G|3-00:00:00|2022-12-14T00:14:49|2022-12-14T01:59:49|2022-12-15T00:25:49|gpunode7|billing=10,cpu=10,gres/gpu=1,mem=156G,node=1|None
2698|hpc|user.61|COMPLETED|gpu|25|111G|3-00:00:00|2022-12-13T22:12:49|2022-12-13T23:15:49|2022-12-14T22:37:49|gpunode8|billing=10,cpu=25,gres/gpu=14,mem=111G,node=1|ReqNodeNotAvail
2699|hpc|user.91|COMPLETED|gpu|13|208G|3-00:00:00|2022-12-13T22:28:49|2022-12-14T01:12:49|2022-12-14T22:37:49|gpunode9|billing=10,cpu=13,gres/gpu=2,mem=208G,node=1|None
2700|hpc|user.31|COMPLETED|gpu|15|310G|3-00:00:00|2022-12-13T21:49:49|2022-12-13T23:59:49|2022-12-14T02:50:49|gpunode10|billing=10,cpu=15,gres/gpu=14,mem=310G,node=1|ReqNodeNotAvail
2701|hpc|user.52|COMPLETED|cpu|4|51G|3-00:00:00|2022-12-14T22:13:49|2022-12-15T01:34:49|2022-12-15T05:08:49|node1|billing=10,cpu=4,mem=51G,node=1|None
2702|hpc|user.29|COMPLETED|cpu|66|318G|3-00:00:00|2022-12-14T21:23:49|2022-12-14T21:38:49|2022-12-15T09:04:49|node2|billing=10,cpu=66,mem=318G,node=1|None
2703|hpc|user.44|COMPLETED|cpu|4|385G|3-00:00:00|2022-12-15T00:13:49|2022-12-15T04:00:49|2022-12-15T21:33:49|node3|billing=10,cpu=4,mem=385G,node=1|None
2704|hpc|user.39|COMPLETED|cpu|12|588G|3-00:00:00|2022-12-14T21:16:49|2022-12-15T00:36:49|2022-12-15T22:04:49|node4|billing=10,cpu=12,mem=588G,node=1|None
2705|hpc|user.53|COMPLETED|cpu|11|3G|3-00:00:00|2022-12-14T23:03:49|2022-12-15T00:44:49|2022-12-15T18:24:49|node5|billing=10,cpu=11,mem=3G,node=1|ReqNodeNotAvail
2706|hpc|user.45|COMPLETED|cpu|30|181G|3-00:00:00|2022-12-14T23:27:49|2022-12-14T23:43:49|2022-12-15T03:49:49|node6|billing=10,cpu=30,mem=181G,node=1|None
2707|hpc|user.84|COMPLETED|cpu|3|162G|3-00:00:00|2022-12-14T21:35:49|2022-12-15T00:18:49|2022-12-15T05:53:49|node7|billing=10,cpu=3,mem=162G,node=1|None
2708|hpc|user.16|COMPLETED|cpu|25|611G|3-00:00:00|2022-12-14T21:07:49|2022-12-14T22:03:49|2022-12-15T02:15:49|node8|billing=10,cpu=25,mem=611G,node=1|Dependency
2709|hpc|user.33|COMPLETED|cpu|21|69G|3-00:00:00|2022-12-14T20:56:49|2022-12-14T21:59:49|2022-12-15T00:05:49|node9|billing=10,cpu=21,mem=69G,node=1|QOSMaxJobsPerUserLimit
2710|hpc|user.68|COMPLETED|cpu|16|271G|3-00:00:00|2022-12-14T23:38:49|2022-12-15T03:28:49|2022-12-15T16:21:49|node10|billing=10,cpu=16,mem=271G,node=1|QOSMaxJobsPerUserLimit
2711|hpc|user.82|COMPLETED|gpu|11|192G|3-00:00:00|2022-12-15T00:50:49|2022-12-15T04:43:49|2022-12-15T23:56:49|gpunode1|billing=10,cpu=11,gres/gpu=1,mem=192G,node=1|None
2712|hpc|user.42|COMPLETED|gpu|24|42G|3-00:00:00|2022-12-14T21:03:49|2022-12-14T22:31:49|2022-12-15T19:57:49|gpunode2|billing=10,cpu=24,gres/gpu=2,mem=42G,node=1|None
2713|hpc|user.34|COMPLETED|gpu|8|167G|3-00:00:00|2022-12-15T00:20:49|2022-12-15T03:27:49|2022-12-15T08:35:49|gpunode3|billing=10,cpu=8,gres/gpu=1,mem=167G,node=1|ReqNodeNotAvail
2714|hpc|user.78|COMPLETED|gpu|15|1007G|3-00:00:00|2022-12-14T21:47:49|2022-12-14T23:01:49|2022-12-15T03:04:49|gpunode4|billing=10,cpu=15,gres/gpu=15,mem=1007G,node=1|None
2715|hpc|user.45|COMPLETED|gpu|2|110G|3-00:00:00|2022-12-14T21:58:49|2022-12-14T23:45:49|2022-12-15T02:51:49|gpunode5|billing=10,cpu=2,gres/gpu=1,mem=110G,node=1|Dependency
2716|hpc|user.80|COMPLETED|gpu|9|45G|3-00:00:00|2022-12-14T21:04:49|2022-12-14T23:02:49|2022-12-15T21:01:49|gpunode6|billing=10,cpu=9,gres/gpu=1,mem=45G,node=1|None
2717|hpc|user.23|COMPLETED|gpu|20|65G|3-00:00:00|2022-12-14T22:38:49|2022-12-15T02:10:49|2022-12-15T13:14:49|gpunode7|billing=10,cpu=20,gres/gpu=1,mem=65G,node=1|None
2718|hpc|user.81|COMPLETED|gpu|45|1263G|3-00:00:00|2022-12-14T23:31:49|2022-12-15T00:12:49|2022-12-15T12:03:49|gpunode8|billing=10,cpu=45,gres/gpu=11,mem=1263G,node=1|None
2719|hpc|user.61|COMPLETED|gpu|3|82G|3-00:00:00|2022-12-15T00:02:49|2022-12-15T02:46:49|2022-12-16T01:47:49|gpunode9|billing=10,cpu=3,gres/gpu=2,mem=82G,node=1|None
2720|hpc|user.42|COMPLETED|gpu|68|1097G|3-00:00:00|2022-12-15T00:25:49|2022-12-15T05:02:49|2022-12-15T06:50:49|gpunode10|billing=10,cpu=68,gres/gpu=16,mem=1097G,node=1|None
2721|hpc|user.17|COMPLETED|cpu|24|84G|3-00:00:00|2022-12-15T21:10:49|2022-12-15T21:46:49|2022-12-16T01:58:49|node1|billing=10,cpu=24,mem=84G,node=1|None
2722|hpc|user.60|COMPLETED|cpu|31|219G|3-00:00:00|2022-12-15T22:26:49|2022-12-16T00:29:49|2022-12-16T14:18:49|node2|billing=10,cpu=31,mem=219G,node=1|None
2723|hpc|user.70|COMPLETED|cpu|9|53G|3-00:00:00|2022-12-16T00:51:49|2022-12-16T03:23:49|2022-12-17T00:39:49|node3|billing=10,cpu=9,mem=53G,node=1|QOSMaxJobsPerUserLimit
2724|hpc|user.20|COMPLETED|cpu|32|554G|3-00:00:00|2022-12-16T00:48:49|2022-12-16T03:45:49|2022-12-16T03:50:49|node4|billing=10,cpu=32,mem=554G,node=1|None
2725|hpc|user.43|COMPLETED|cpu|2|7G|3-00:00:00|2022-12-15T23:57:49|2022-12-16T02:09:49|2022-12-16T09:21:49|node5|billing=10,cpu=2,mem=7G,node=1|QOSMaxJobsPerUserLimit
2726|hpc|user.3|COMPLETED|cpu|21|653G|3-00:00:00|2022-12-15T23:40:49|2022-12-16T00:52:49|2022-12-16T20:59:49|node6|billing=10,cpu=21,mem=653G,node=1|None
2727|hpc|user.13|COMPLETED|cpu|26|270G|3-00:00:00|2022-12-16T00:34:49|2022-12-16T04:33:49|2022-12-16T16:13:49|node7|billing=10,cpu=26,mem=270G,node=1|ReqNodeNotAvail
2728|hpc|user.45|COMPLETED|cpu|14|277G|3-00:00:00|2022-12-16T00:13:49|2022-12-16T03:10:49|2022-12-16T04:51:49|node8|billing=10,cpu=14,mem=277G,node=1|None
2729|hpc|user.49|COMPLETED|cpu|23|38G|3-00:00:00|2022-12-16T00:09:49|2022-12-16T01:49:49|2022-12-16T05:09:49|node9|billing=10,cpu=23,mem=38G,node=1|None
2730|hpc|user.90|COMPLETED|cpu|4|176G|3-00:00:00|2022-12-16T00:20:49|2022-12-16T02:06:49|2022-12-17T01:27:49|node10|billing=10,cpu=4,mem=176G,node=1|QOSMaxJobsPerUserLimit
2731|hpc|user.54|COMPLETED|gpu|26|1G|3-00:00:00|2022-12-16T00:11:49|2022-12-16T01:13:49|2022-12-16T14:32:49|gpunode1|billing=10,cpu=26,gres/gpu=2,mem=1G,node=1|QOSMaxJobsPerUserLimit
2732|hpc|user.76|COMPLETED|gpu|22|25G|3-00:00:00|2022-12-15T21:32:49|2022-12-15T23:10:49|2022-12-16T22:42:49|gpunode2|billing=10,cpu=22,gres/gpu=3,mem=25G,node=1|None
2733|hpc|user.83|COMPLETED|gpu|16|110G|3-00:00:00|2022-12-15T21:06:49|2022-12-15T22:19:49|2022-12-16T14:52:49|gpunode3|billing=10,cpu=16,gres/gpu=1,mem=110G,node=1|None
2734|hpc|user.75|COMPLETED|gpu|43|83G|3-00:00:00|2022-12-15T20:59:49|2022-12-15T21:04:49|2022-12-16T16:54:49|gpunode4|billing=10,cpu=43,gres/gpu=15,mem=83G,node=1|QOSMaxJobsPerUserLimit
2735|hpc|user.61|COMPLETED|gpu|63|136G|3-00:00:00|2022-12-15T21:35:49|2022-12-15T22:05:49|2022-12-16T11:01:49|gpunode5|billing=10,cpu=63,gres/gpu=2,mem=136G,node=1|None
2736|hpc|user.17|COMPLETED|gpu|23|4G|3-00:00:00|2022-12-16T00:47:49|2022-12-16T01:05:49|2022-12-16T22:10:49|gpunode6|billing=10,cpu=23,gres/gpu=1,mem=4G,node=1|QOSMaxJobsPerUserLimit
2737|hpc|user.92|COMPLETED|gpu|7|40G|3-00:00:00|2022-12-16T00:46:49|2022-12-16T01:17:49|2022-12-16T16:45:49|gpunode7|billing=10,cpu=7,gres/gpu=1,mem=40G,node=1|ReqNodeNotAvail
2738|hpc|user.86|COMPLETED|gpu|71|599G|3-00:00:00|2022-12-15T23:24:49|2022-12-15T23:57:49|2022-12-16T17:51:49|gpunode8|billing=10,cpu=71,gres/gpu=14,mem=599G,node=1|None
2739|hpc|user.16|COMPLETED|gpu|10|213G|3-00:00:00|2022-12-16T00:07:49|2022-12-16T02:05:49|2022-12-16T05:30:49|gpunode9|billing=10,cpu=10,gres/gpu=1,mem=213G,node=1|None
2740|hpc|user.99|COMPLETED|gpu|73|115G|3-00:00:00|2022-12-15T22:24:49|2022-12-16T00:49:49|2022-12-16T04:08:49|gpunode10|billing=10,cpu=73,gres/gpu=11,mem=115G,node=1|None
2741|hpc|user.82|COMPLETED|cpu|10|5G|3-00:00:00|2022-12-16T22:59:49|2022-12-17T01:44:49|2022-12-17T19:29:49|node1|billing=10,cpu=10,mem=5G,node=1|None
2742|hpc|user.43|COMPLETED|cpu|59|74G|3-00:00:00|2022-12-17T00:51:49|2022-12-17T04:02:49|2022-12-17T14:08:49|node2|billing=10,cpu=59,mem=74G,node=1|None
2743|hpc|user.95|COMPLETED|cpu|25|217G|3-00:00:00|2022-12-16T22:28:49|2022-12-17T00:16:49|2022-12-17T08:19:49|node3|billing=10,cpu=25,mem=217G,node=1|None
2744|hpc|user.22|COMPLETED|cpu|24|385G|3-00:00:00|2022-12-16T23:29:49|2022-12-17T01:57:49|2022-12-17T16:52:49|node4|billing=10,cpu=24,mem=385G,node=1|None
2745|hpc|user.76|COMPLETED|cpu|12|74G|3-00:00:00|2022-12-16T22:55:49|2022-12-17T00:42:49|2022-12-17T19:14:49|node5|billing=10,cpu=12,mem=74G,node=1|None
2746|hpc|user.68|COMPLETED|cpu|31|37G|3-00:00:00|2022-12-16T21:37:49|2022-12-16T22:52:49|2022-12-17T05:46:49|node6|billing=10,cpu=31,mem=37G,node=1|QOSMaxJobsPerUserLimit
2747|hpc|user.96|COMPLETED|cpu|48|190G|3-00:00:00|2022-12-16T21:53:49|2022-12-16T22:58:49|2022-12-17T08:15:49|node7|billing=10,cpu=48,mem=190G,node=1|None
2748|hpc|user.67|COMPLETED|cpu|23|479G|3-00:00:00|2022-12-16T22:01:49|2022-12-17T01:25:49|2022-12-17T14:19:49|node8|billing=10,cpu=23,mem=479G,node=1|None
2749|hpc|user.55|COMPLETED|cpu|6|57G|3-00:00:00|2022-12-16T22:09:49|2022-12-17T00:01:49|2022-12-17T14:36:49|node9|billing=10,cpu=6,mem=57G,node=1|None
2750|hpc|user.35|COMPLETED|cpu|51|203G|3-00:00:00|2022-12-16T23:34:49|2022-12-16T23:40:49|2022-12-17T04:04:49|node10|billing=10,cpu=51,mem=203G,node=1|None
2751|hpc|user.92|COMPLETED|gpu|5|307G|3-00:00:00|2022-12-16T23:00:49|2022-12-16T23:10:49|2022-12-16T23:49:49|gpunode1|billing=10,cpu=5,gres/gpu=2,mem=307G,node=1|None
2752|hpc|user.98|COMPLETED|gpu|12|45G|3-00:00:00|2022-12-16T23:17:49|2022-12-17T00:29:49|2022-12-17T08:06:49|gpunode2|billing=10,cpu=12,gres/gpu=3,mem=45G,node=1|None
2753|hpc|user.28|COMPLETED|gpu|18|50G|3-00:00:00|2022-12-17T00:06:49|2022-12-17T03:18:49|2022-12-17T20:24:49|gpunode3|billing=10,cpu=18,gres/gpu=1,mem=50G,node=1|Dependency
2754|hpc|user.81|COMPLETED|gpu|14|971G|3-00:00:00|2022-12-16T23:35:49|2022-12-17T02:14:49|2022-12-17T03:13:49|gpunode4|billing=10,cpu=14,gres/gpu=13,mem=971G,node=1|None
2755|hpc|user.93|COMPLETED|gpu|34|52G|3-00:00:00|2022-12-16T23:08:49|2022-12-17T00:36:49|2022-12-17T03:20:49|gpunode5|billing=10,cpu=34,gres/gpu=2,mem=52G,node=1|None
2756|hpc|user.42|COMPLETED|gpu|10|29G|3-00:00:00|2022-12-17T00:52:49|2022-12-17T02:47:49|2022-12-17T15:36:49|gpunode6|billing=10,cpu=10,gres/gpu=4,mem=29G,node=1|None
2757|hpc|user.57|COMPLETED|gpu|8|6G|3-00:00:00|2022-12-16T22:41:49|2022-12-16T23:14:49|2022-12-17T12:58:49|gpunode7|billing=10,cpu=8,gres/gpu=1,mem=6G,node=1|None
2758|hpc|user.43|COMPLETED|gpu|112|294G|3-00:00:00|2022-12-17T00:46:49|2022-12-17T02:12:49|2022-12-17T14:25:49|gpunode8|billing=10,cpu=112,gres/gpu=11,mem=294G,node=1|None
2759|hpc|user.59|COMPLETED|gpu|10|240G|3-00:00:00|2022-12-17T00:28:49|2022-12-17T00:42:49|2022-12-17T23:07:49|gpunode9|billing=10,cpu=10,gres/gpu=1,mem=240G,node=1|None
2760|hpc|user.5|COMPLETED|gpu|85|226G|3-00:00:00|2022-12-16T23:43:49|2022-12-17T04:57:49|2022-12-17T16:15:49|gpunode10|billing=10,cpu=85,gres/gpu=13,mem=226G,node=1|Dependency
2761|hpc|user.67|COMPLETED|cpu|14|91G|3-00:00:00|2022-12-17T23:58:49|2022-12-18T03:10:49|2022-12-18T23:15:49|node1|billing=10,cpu=14,mem=91G,node=1|ReqNodeNotAvail
2762|hpc|user.14|COMPLETED|cpu|87|263G|3-00:00:00|2022-12-17T22:17:49|2022-12-18T01:13:49|2022-12-18T20:09:49|node2|billing=10,cpu=87,mem=263G,node=1|Dependency
2763|hpc|user.3|COMPLETED|cpu|34|332G|3-00:00:00|2022-12-17T21:38:49|2022-12-17T23:57:49|2022-12-18T21:49:49|node3|billing=10,cpu=34,mem=332G,node=1|None
2764|hpc|user.48|COMPLETED|cpu|15|246G|3-00:00:00|2022-12-17T21:47:49|2022-12-17T22:27:49|2022-12-18T16:25:49|node4|billing=10,cpu=15,mem=246G,node=1|None
2765|hpc|user.20|COMPLETED|cpu|13|41G|3-00:00:00|2022-12-17T23:25:49|2022-12-18T02:35:49|2022-12-18T03:52:49|node5|billing=10,cpu=13,mem=41G,node=1|ReqNodeNotAvail
2766|hpc|user.25|COMPLETED|cpu|36|78G|3-00:00:00|2022-12-17T23:39:49|2022-12-18T00:49:49|2022-12-18T17:12:49|node6|billing=10,cpu=36,mem=78G,node=1|None
2767|hpc|user.59|COMPLETED|cpu|32|89G|3-00:00:00|2022-12-17T22:21:49|2022-12-18T02:16:49|2022-12-18T09:24:49|node7|billing=10,cpu=32,mem=89G,node=1|QOSMaxJobsPerUserLimit
2768|hpc|user.68|COMPLETED|cpu|9|76G|3-00:00:00|2022-12-17T23:25:49|2022-12-18T03:07:49|2022-12-18T10:40:49|node8|billing=10,cpu=9,mem=76G,node=1|Dependency
2769|hpc|user.7|COMPLETED|cpu|22|18G|3-00:00:00|2022-12-18T00:09:49|2022-12-18T03:01:49|2022-12-18T15:48:49|node9|billing=10,cpu=22,mem=18G,node=1|None
2770|hpc|user.69|COMPLETED|cpu|85|330G|3-00:00:00|2022-12-17T23:30:49|2022-12-18T01:54:49|2022-12-18T02:18:49|node10|billing=10,cpu=85,mem=330G,node=1|None
2771|hpc|user.18|COMPLETED|gpu|18|252G|3-00:00:00|2022-12-17T22:39:49|2022-12-18T02:09:49|2022-12-18T19:11:49|gpunode1|billing=10,cpu=18,gres/gpu=2,mem=252G,node=1|None
2772|hpc|user.30|COMPLETED|gpu|11|32G|3-00:00:00|2022-12-17T22:03:49|2022-12-17T23:43:49|2022-12-18T04:20:49|gpunode2|billing=10,cpu=11,gres/gpu=3,mem=32G,node=1|None
2773|hpc|user.5|COMPLETED|gpu|12|106G|3-00:00:00|2022-12-17T22:21:49|2022-12-18T01:13:49|2022-12-18T17:24:49|gpunode3|billing=10,cpu=12,gres/gpu=1,mem=106G,node=1|None
2774|hpc|user.72|COMPLETED|gpu|61|561G|3-00:00:00|2022-12-18T00:03:49|2022-12-18T01:51:49|2022-12-18T08:05:49|gpunode4|billing=10,cpu=61,gres/gpu=12,mem=561G,node=1|None
2775|hpc|user.13|COMPLETED|gpu|27|11G|3-00:00:00|2022-12-17T22:02:49|2022-12-17T22:54:49|2022-12-18T09:24:49|gpunode5|billing=10,cpu=27,gres/gpu=2,mem=11G,node=1|ReqNodeNotAvail
2776|hpc|user.45|COMPLETED|gpu|7|1G|3-00:00:00|2022-12-17T21:27:49|2022-12-17T21:31:49|2022-12-18T09:17:49|gpunode6|billing=10,cpu=7,gres/gpu=2,mem=1G,node=1|None
2777|hpc|user.70|COMPLETED|gpu|4|230G|3-00:00:00|2022-12-17T23:23:49|2022-12-18T02:58:49|2022-12-18T21:39:49|gpunode7|billing=10,cpu=4,gres/gpu=1,mem=230G,node=1|None
2778|hpc|user.11|COMPLETED|gpu|41|533G|3-00:00:00|2022-12-18T00:44:49|2022-12-18T01:49:49|2022-12-18T14:13:49|gpunode8|billing=10,cpu=41,gres/gpu=10,mem=533G,node=1|None
2779|hpc|user.62|COMPLETED|gpu|20|89G|3-00:00:00|2022-12-17T22:59:49|2022-12-18T00:50:49|2022-12-18T22:29:49|gpunode9|billing=10,cpu=20,gres/gpu=2,mem=89G,node=1|None
2780|hpc|user.58|COMPLETED|gpu|84|384G|3-00:00:00|2022-12-17T21:37:49|2022-12-18T00:06:49|2022-12-18T08:23:49|gpunode10|billing=10,cpu=84,gres/gpu=12,mem=384G,node=1|None
